change,companyname,high,link,low,openStock,price,symbol,volume
-0.004 /-2.67%,Alta Mesa Resources Inc.,0.1522,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.14,0.1522,0.142,AMR,"2,126,007.00"
0.240 / 10.96%,Aclaris Therapeutics Inc.,2.43,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.21,2.28,2.43,ACRS,"2,086,932.00"
-0.570 /-13.94%,Vuzix Corporation,3.62,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3.17,3.54,3.52,VUZI,"2,020,365.00"
-0.240 /-5.50%,Conformis Inc.,4.57,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4.12,4.31,4.12,CFMS,"1,996,459.00"
-0.054 /-8.47%,Inpixon,0.639,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.5515,0.639,0.58,INPX,"1,992,713.00"
0.00,Frontier Communications Corporation,1.79,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1.7,1.76,1.75,FTR,"1,931,720.00"
-0.080 /-4.71%,Bellicum Pharmaceuticals Inc.,1.87,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1.56,1.81,1.62,BLCM,"1,882,213.00"
0.130 / 5.28%,Ideanomics Inc.,2.73,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.36,2.45,2.59,IDEX,"1,835,765.00"
0.050 / 1.98%,AcelRx Pharmaceuticals Inc.,2.65,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.41,2.65,2.58,ACRX,"1,809,494.00"
0.030 / 1.02%,Workhorse Group Inc.,3.05,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.85,3,2.97,WKHS,"1,672,975.00"
0.120 / 2.51%,Inseego Corp.,5.02,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4.83,5,4.91,INSG,"1,646,172.00"
0.00,Qutoutiao Inc.,4.15,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3.92,4.12,3.94,QTT,"1,589,803.00"
-0.030 /-2.61%,MannKind Corporation,1.18,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1.12,1.17,1.12,MNKD,"1,567,189.00"
,,,https://www.allpennystocks.com/hotpennystocks/oto.aspx,,,,,
-0.002 /-9.33%,Universal Solar Tech Inc,0.0225,https://www.allpennystocks.com/hotpennystocks/oto.aspx,0.016,0.0225,0.0175,UNSS,"17,454,772.00"
0.002 / 4.44%,Betmakers Technology Group Ltd,0.047,https://www.allpennystocks.com/hotpennystocks/oto.aspx,0.045,0.045,0.047,BET:AU,"1,676,760.00"
0.001 / 8.65%,Kali Inc,0.012,https://www.allpennystocks.com/hotpennystocks/oto.aspx,0.0101,0.0101,0.0113,KALY,"1,448,634.00"
0.00,Arrayit Corp,0.0353,https://www.allpennystocks.com/hotpennystocks/oto.aspx,0.0321,0.033,0.0335,ARYC,"1,362,606.00"
0.001 / 1.35%,FBR Ltd,0.076,https://www.allpennystocks.com/hotpennystocks/oto.aspx,0.074,0.075,0.075,FBR:AU,"1,335,738.00"
0.001 / 1.18%,BTC Health Ltd,0.087,https://www.allpennystocks.com/hotpennystocks/oto.aspx,0.086,0.087,0.086,BTC:AU,"1,137,812.00"
